event_name,participant_id,task,time,mode,interaction_group
attempts,261aa9133f,2,1656449109,Advanced,High interaction
complete,261aa9133f,2,1656449110,Advanced,High interaction
start,261aa9133f,3,1656449110,Advanced,High interaction
attempts,261aa9133f,3,1656449198,Advanced,High interaction
complete,261aa9133f,3,1656449199,Advanced,High interaction
start,261aa9133f,4,1656449199,Basic,High interaction
attempts,261aa9133f,4,1656449332,Advanced,High interaction
complete,261aa9133f,4,1656449333,Advanced,High interaction
start,261aa9133f,5,1656449333,Balanced,High interaction
attempts,261aa9133f,5,1656449419,Advanced,High interaction
complete,261aa9133f,5,1656449420,Advanced,High interaction
start,261aa9133f,6,1656449420,Advanced,High interaction
attempts,261aa9133f,6,1656449515,Advanced,High interaction
complete,261aa9133f,6,1656449516,Advanced,High interaction
start,261aa9133f,7,1656449516,Basic,High interaction
attempts,261aa9133f,7,1656449595,Advanced,High interaction
skip,261aa9133f,7,1656449596,Advanced,High interaction
start,261aa9133f,8,1656449596,Balanced,High interaction
attempts,261aa9133f,8,1656449732,Balanced,High interaction
complete,261aa9133f,8,1656449733,Balanced,High interaction
start,261aa9133f,9,1656449733,Advanced,High interaction
attempts,261aa9133f,9,1656449841,Advanced,High interaction
skip,261aa9133f,9,1656449842,Advanced,High interaction
start,b921af4bc0,1,1656280332,Balanced,High interaction
attempts,b921af4bc0,1,1656280425,Balanced,High interaction
complete,b921af4bc0,1,1656280426,Balanced,High interaction
start,b921af4bc0,2,1656280426,Basic,High interaction
attempts,b921af4bc0,2,1656280513,Advanced,High interaction
skip,b921af4bc0,2,1656280514,Advanced,High interaction
start,b921af4bc0,3,1656280514,Advanced,High interaction
attempts,b921af4bc0,3,1656280589,Advanced,High interaction
complete,b921af4bc0,3,1656280590,Advanced,High interaction
start,b921af4bc0,4,1656280590,Balanced,High interaction
attempts,b921af4bc0,4,1656280683,Advanced,High interaction
complete,b921af4bc0,4,1656280684,Advanced,High interaction
start,b921af4bc0,5,1656280684,Basic,High interaction
attempts,b921af4bc0,5,1656280742,Balanced,High interaction
complete,b921af4bc0,5,1656280743,Balanced,High interaction
start,b921af4bc0,6,1656280743,Advanced,High interaction
attempts,b921af4bc0,6,1656280832,Basic,High interaction
complete,b921af4bc0,6,1656280833,Basic,High interaction
start,b921af4bc0,7,1656280833,Balanced,High interaction
attempts,b921af4bc0,7,1656280871,Advanced,High interaction
complete,b921af4bc0,7,1656280872,Advanced,High interaction
start,b921af4bc0,8,1656280872,Basic,High interaction
attempts,b921af4bc0,8,1656280941,Advanced,High interaction
complete,b921af4bc0,8,1656280942,Advanced,High interaction
attempts,b921af4bc0,9,1656280982,Basic,High interaction
start,b921af4bc0,9,1656280942,Advanced,High interaction
